ProjectID,Title,Abstract,InitialDate,Description,CloseDate,PI,CO-PI,Faculty
8,"Duis sed lacinia sapien. Curabitur quam libero","Praesent tincidunt adipiscing sapien, ut consectetur nisl luctus non. Proin fermentum, quam vitae posuere consectetur, ante augue cursus magna, nec placerat justo erat eget felis. Suspendisse non tortor aliquam, pretium nibh iaculis, feugiat libero. Morbi rhoncus tristique felis, sed iaculis massa pharetra nec. Duis accumsan",1993-12-20,"Aliquam eleifend velit nibh, nec sollicitudin justo varius sed. Nunc justo metus, pharetra feugiat sodales vitae, sodales vitae enim. Aliquam quis semper neque, aliquet semper enim. Phasellus non interdum eros, a sagittis orci. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Ut venenatis augue lacus, nec varius erat aliquam at. Pellentesque tincidunt, urna ac pharetra pulvinar, nisl metus aliquam augue, vel tristique risus elit ut lacus. Nam quis suscipit leo.",2001-01-01,"Juan Katz",,
8,"Duis sed lacinia sapien. Curabitur quam libero","Praesent tincidunt adipiscing sapien, ut consectetur nisl luctus non. Proin fermentum, quam vitae posuere consectetur, ante augue cursus magna, nec placerat justo erat eget felis. Suspendisse non tortor aliquam, pretium nibh iaculis, feugiat libero. Morbi rhoncus tristique felis, sed iaculis massa pharetra nec. Duis accumsan",1993-12-20,"Aliquam eleifend velit nibh, nec sollicitudin justo varius sed. Nunc justo metus, pharetra feugiat sodales vitae, sodales vitae enim. Aliquam quis semper neque, aliquet semper enim. Phasellus non interdum eros, a sagittis orci. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Ut venenatis augue lacus, nec varius erat aliquam at. Pellentesque tincidunt, urna ac pharetra pulvinar, nisl metus aliquam augue, vel tristique risus elit ut lacus. Nam quis suscipit leo.",2001-01-01,,,"a Cloninger"
9,"Sed ullamcorper in diam in adipiscing","Etiam elementum sit amet mi id rutrum. Nulla venenatis magna sit amet faucibus imperdiet. Vestibulum pellentesque mattis dapibus. Fusce risus eros, placerat facilisis nibh ut, convallis consectetur elit. Nulla tempor placerat ipsum ut venenatis. Integer aliquam mi placerat felis scelerisque sagittis. Pellentesque at sollicitudin sapien. Duis est tellus,",1992-03-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque sit amet tortor nunc. Suspendisse at elementum ipsum. Nam felis ligula, pharetra quis nibh in, consectetur placerat nunc. Praesent libero neque, rutrum vel varius ut, aliquet et metus. Vivamus ut iaculis massa, sit amet ultrices ante. Donec ac ultrices lectus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Maecenas vestibulum mauris et nulla adipiscing tincidunt. Sed mattis mauris ac mattis euismod. Etiam accumsan lacinia erat, nec ornare dolor viverra sed. Duis non eleifend justo. Nullam ut condimentum nibh. Donec eu auctor erat, sed tincidunt ante.",2001-01-01,,,"Demetria Davis"
10,"fermentum mollis mi, in porta eros sodales sit amet. Nulla facilisis, l","Praesent tincidunt adipiscing sapien, ut consectetur nisl luctus non. Proin fermentum, quam vitae posuere consectetur,",1991-04-25,"Nunc adipiscing feugiat venenatis. Quisque consectetur consequat purus, id auctor est. Nulla at augue ullamcorper, semper sapien non, euismod tortor. Aenean vehicula iaculis mi in tempus. Nulla leo risus, dapibus faucibus mauris at, tempus ornare nibh. Vestibulum eget bibendum mauris. Morbi dignissim dignissim massa, sit amet facilisis orci varius eget. Etiam fermentum risus justo, vitae rutrum purus aliquet nec. Fusce lorem arcu, dignissim ut pulvinar lobortis, mattis ac dui. Suspendisse convallis massa in condimentum accumsan. Curabitur ut fermentum lectus, nec tincidunt leo. Ut condimentum lacinia risus, et vestibulum risus dignissim sed. In at laoreet nisi. Suspendisse sed eleifend lorem, eu pharetra leo. Integer ornare enim velit, quis feugiat arcu sollicitudin a. Praesent hendrerit interdum est, eu gravida libero viverra sed.",2001-01-01,"Leono Damm",,
10,"fermentum mollis mi, in porta eros sodales sit amet. Nulla facilisis, l","Praesent tincidunt adipiscing sapien, ut consectetur nisl luctus non. Proin fermentum, quam vitae posuere consectetur,",1991-04-25,"Nunc adipiscing feugiat venenatis. Quisque consectetur consequat purus, id auctor est. Nulla at augue ullamcorper, semper sapien non, euismod tortor. Aenean vehicula iaculis mi in tempus. Nulla leo risus, dapibus faucibus mauris at, tempus ornare nibh. Vestibulum eget bibendum mauris. Morbi dignissim dignissim massa, sit amet facilisis orci varius eget. Etiam fermentum risus justo, vitae rutrum purus aliquet nec. Fusce lorem arcu, dignissim ut pulvinar lobortis, mattis ac dui. Suspendisse convallis massa in condimentum accumsan. Curabitur ut fermentum lectus, nec tincidunt leo. Ut condimentum lacinia risus, et vestibulum risus dignissim sed. In at laoreet nisi. Suspendisse sed eleifend lorem, eu pharetra leo. Integer ornare enim velit, quis feugiat arcu sollicitudin a. Praesent hendrerit interdum est, eu gravida libero viverra sed.",2001-01-01,,,"a Cloninger"
18,"Project 1!","Test new!",2014-04-01,Description,2014-04-30,"a Cloninger",,
19,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
20,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
21,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
22,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
23,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
24,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
25,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
26,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
27,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
28,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
29,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
30,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
31,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
32,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
33,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
34,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
35,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
36,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
38,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
38,asdf,asdf,2014-04-04,asdf,2014-04-09,,,"Leono Damm"
39,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
39,asdf,asdf,2014-04-04,asdf,2014-04-09,,,"Leono Damm"
40,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
40,asdf,asdf,2014-04-04,asdf,2014-04-09,,,"Leono Damm"
41,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
41,asdf,asdf,2014-04-04,asdf,2014-04-09,,,"Leono Damm"
42,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
43,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
44,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
45,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
46,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
46,asdf,asdf,2014-04-04,asdf,2014-04-09,,"Leono Damm",
47,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
47,asdf,asdf,2014-04-04,asdf,2014-04-09,,"Leono Damm",
48,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
49,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
49,asdf,asdf,2014-04-04,asdf,2014-04-09,,"Leono Damm",
50,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
51,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
51,asdf,asdf,2014-04-04,asdf,2014-04-09,,"Leono Damm",
52,asdf,asdf,2014-04-04,asdf,2014-04-09,"ACong AQi",,
52,asdf,asdf,2014-04-04,asdf,2014-04-09,,"Leono Damm",
53,"New Project!!!1","New Project!!!1",2014-04-25,"New Project!!!1",2014-04-05,"ACong AQi",,
53,"New Project!!!1","New Project!!!1",2014-04-25,"New Project!!!1",2014-04-05,,"Pricilla Stephens",
54,ASDFasdfasdfasdf,asdfasdfasdf,2014-04-02,asdfasdfasdfasdfasdf,2014-04-26,"ACong AQi",,
55,ASDFasdfasdfasdf,asdfasdfasdf,2014-04-02,asdfasdfasdfasdfasdf,2014-04-26,"ACong AQi",,
56,ASDFasdfasdfasdf,asdfasdfasdf,2014-04-02,asdfasdfasdfasdfasdf,2014-04-26,"ACong AQi",,
57,ASDFasdfasdfasdf,asdfasdfasdf,2014-04-02,asdfasdfasdfasdfasdf,2014-04-26,"ACong AQi",,
58,ASDFasdfasdfasdf,asdfasdfasdf,2014-04-02,asdfasdfasdfasdfasdf,2014-04-26,"ACong AQi",,
60,asdfasdfASDFASDF,ASDFASDFASDF,2014-04-04,ASDFASDFASDFASDF,2014-04-04,"ACong AQi",,
61,asdfasdfASDFASDF,ASDFASDFASDF,2014-04-04,ASDFASDFASDFASDF,2014-04-04,"ACong AQi",,
61,asdfasdfASDFASDF,ASDFASDFASDF,2014-04-04,ASDFASDFASDFASDF,2014-04-04,,"Erin Scott",
62,"THIS IS A PROJECT","THIS IS A PROJECT",2014-04-01,"THIS IS A PROJECT",2014-04-30,"ACong AQi",,
62,"THIS IS A PROJECT","THIS IS A PROJECT",2014-04-01,"THIS IS A PROJECT",2014-04-30,,"Eduardo Chaves",
63,asdlfjalskdfj,asdlkfjakldjfklj,2014-04-16,alsdkjfklasjdfklasjdklf,2014-04-26,"ACong AQi",,
64,asdf,,2014-04-28,,0000-00-00,"ACong AQi",,
65,TESTING,,2014-04-30,,0000-00-00,"ACong AQi",,
65,TESTING,,2014-04-30,,0000-00-00,,"a Cloninger",
66,asdfasdfasdf,,1995-03-07,,0000-00-00,"asdfasdf asdfasdf",,
